rank,score,popularity,title,type,source,genres,demographic,rating
161,8.48,5986,Chiikawa,tv,web_manga,Slice of Life,,g
162,8.48,4,One Punch Man,tv,web_manga,"Action, Adult Cast, Comedy, Parody, Super Power",Seinen,r
163,8.47,197,Nichijou,tv,manga,"Comedy, Gag Humor, School",Shounen,pg_13
164,8.47,367,Summertime Render,tv,manga,"Mystery, Supernatural, Suspense, Time Travel",Shounen,r
165,8.47,1309,Uchuu Kyoudai,tv,manga,"Adult Cast, Comedy, Space, Workplace",Seinen,pg_13
166,8.47,37,Yakusoku no Neverland,tv,manga,"Mystery, Psychological, Survival, Suspense",Shounen,r
167,8.47,84,Ansatsu Kyoushitsu 2nd Season,tv,manga,"Action, Comedy, School",Shounen,pg_13
168,8.47,1830,Aria the Origination,tv,manga,"Iyashikei, Sci-Fi, Slice of Life",Shounen,g
169,8.47,4781,Given Movie 3: Umi e,movie,manga,"Boys Love, Drama, Music",,pg_13
170,8.46,608,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,movie,visual_novel,"Action, Fantasy, Urban Fantasy",,r
171,8.46,2494,Gintama: The Semi-Final,special,manga,"Action, Comedy, Gag Humor, Historical, Parody, Samurai",Shounen,pg_13
172,8.46,1084,Mo Dao Zu Shi,ona,web_novel,"Action, Adventure, Drama, Fantasy, Historical, Mystery, Mythology, Reincarnation",,r
173,8.46,2112,Mo Dao Zu Shi: Xian Yun Pian,ona,web_novel,"Action, Adventure, Drama, Fantasy, Historical, Mystery, Mythology, Reincarnation",,r
174,8.46,618,Rainbow: Nisha Rokubou no Shichinin,tv,manga,"Delinquents, Drama, Historical, Suspense",Seinen,r
175,8.46,302,Yuu☆Yuu☆Hakusho,tv,manga,"Action, Martial Arts, Mythology, Supernatural",Shounen,pg_13
176,8.45,382,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,movie,visual_novel,"Drama, Sci-Fi",,pg_13
177,8.45,7120,Tian Guan Cifu Short Film,ona,web_novel,"Action, Adventure, Drama, Fantasy, Historical, Mythology",,pg_13
178,8.45,202,Banana Fish,tv,manga,"Action, Adventure, Delinquents, Drama, Organized Crime, Psychological, Suspense",Shoujo,r
179,8.45,1687,Chihayafuru 3,tv,manga,"Drama, Love Polygon, Romance, School, Sports, Strategy Game",Josei,pg_13
180,8.45,223,Dandadan,tv,manga,"Action, Comedy, Supernatural",Shounen,r
181,8.45,531,Dandadan 2nd Season,tv,manga,"Action, Comedy, Supernatural",Shounen,r
182,8.45,230,Grand Blue,tv,manga,"Adult Cast, Comedy, Gag Humor",Seinen,pg_13
